head,tail,label,predict
m.059g4,m.0hjy,NA,NA
m.059g4,m.0d060g,NA,NA
m.059g4,m.01p1v,NA,NA
m.059g4,m.0b90_r,NA,NA
m.059g4,m.04ly1,NA,NA
m.059g4,m.0345_,NA,NA
m.0f6_4,m.02_286,NA,NA
m.0fqz6,m.04ly1,NA,NA
m.05qtj,m.0gz59,NA,NA
m.05qtj,m.0bhbkg,NA,NA
m.05qtj,m.027fgw,NA,NA
m.05qtj,m.0f8l9c,NA,NA
m.05qtj,m.0f8l9c,NA,NA
m.05qtj,m.0f8l9c,NA,/location/administrative_division/country
m.05qtj,m.0f8l9c,NA,NA
m.05qtj,m.02yhw,NA,NA
m.05qtj,m.03zv70,NA,NA
m.05qtj,m.02j81,NA,NA
m.05qtj,m.0gc7k,NA,NA
m.05qtj,m.0k689,NA,NA
m.01w_10,m.09d5h,NA,NA
m.01w_10,m.05gnf,NA,NA
m.01w_10,m.081yw,NA,NA
m.01w_10,m.042pvb,NA,NA
m.0196_h,m.03mbfy,NA,NA
m.0n839,m.045c7b,NA,NA
m.0n839,m.07t65,NA,NA
m.0n839,m.03rj0,NA,NA
m.0n839,m.03bnb,NA,NA
m.0j0k,m.05b7q,NA,NA
m.0j0k,m.0494n,NA,NA
m.0j0k,m.03rk0,NA,NA
m.0j0k,m.0gp71x,NA,NA
m.0j0k,m.09f07,NA,NA
m.0j0k,m.01f08r,NA,NA
m.0j0k,m.03spz,NA,NA
m.0j0k,m.05v8c,NA,NA
m.0j0k,m.09pmkv,NA,NA
m.0j0k,m.05qhw,NA,NA
m.0j0k,m.02p1pl6,NA,NA
m.0j0k,m.05vz3zq,NA,NA
m.0j0k,m.06bnz,NA,NA
m.0j0k,m.06bnz,NA,/location/location/contains
m.0j0k,m.06bnz,NA,/location/location/contains
m.0j0k,m.0chghy,NA,NA
m.0j0k,m.01ksp,NA,NA
m.0j0k,m.06t2t,NA,/location/location/contains
m.0j0k,m.0fqby,NA,NA
m.0j0k,m.06c1y,NA,NA
m.09jcvs,m.02h5yx7,NA,NA
m.01v4_p,m.03rjj,NA,NA
m.07ssc,m.0ft0s,NA,NA
m.07ssc,m.082pc,NA,NA
m.06tgw,m.0dkly,NA,NA
m.06tgw,m.0dttf,NA,/location/location/contains
m.06tgw,m.0c2ty,NA,NA
m.02h6_6p,m.02md49,NA,NA
m.02h6_6p,m.0345h,NA,NA
m.04lkbt,m.03rk0,NA,NA
m.0bymv,m.045c7b,NA,NA
m.0bymv,m.06yxd,NA,NA
m.0bymv,m.0mhdz,NA,NA
m.0bymv,m.081yw,NA,NA
m.05whq_9,m.0xyzz,NA,NA
m.03cdv9,m.0f8l9c,NA,NA
m.081mh,m.010xxm,NA,/location/location/contains
m.081m_,m.05qhw,NA,/people/person/nationality
m.03dm7,m.02yy29,NA,NA
m.03dm7,m.02_286,NA,/location/neighborhood/neighborhood_of
m.03dm7,m.02_286,NA,/location/neighborhood/neighborhood_of
m.03dm7,m.06fr3r,NA,NA
