head,tail,label,predict
Q14692752,Q1913353,place served by transport hub,place served by transport hub
Q10853404,Q976490,place served by transport hub,place served by transport hub
Q2901128,Q2917481,place served by transport hub,place served by transport hub
Q597366,Q3106552,place served by transport hub,place served by transport hub
Q607230,Q23681,place served by transport hub,place served by transport hub
Q7054774,Q1010199,place served by transport hub,place served by transport hub
Q16897548,Q1811472,place served by transport hub,place served by transport hub
Q3274365,Q16563,place served by transport hub,place served by transport hub
Q64833,Q16461,place served by transport hub,place served by transport hub
Q16894725,Q724815,place served by transport hub,place served by transport hub
Q7366439,Q2349502,place served by transport hub,place served by transport hub
Q3913389,Q1361,place served by transport hub,place served by transport hub
Q816717,Q1362,place served by transport hub,place served by transport hub
Q2756149,Q36214,place served by transport hub,place served by transport hub
Q7976824,Q589670,place served by transport hub,place served by transport hub
Q1431113,Q15093,place served by transport hub,place served by transport hub
Q12693835,Q2778747,place served by transport hub,place served by transport hub
Q1197691,Q4970,place served by transport hub,place served by transport hub
Q5608857,Q115043,place served by transport hub,place served by transport hub
Q780450,Q10103,place served by transport hub,place served by transport hub
Q2901611,Q2132,place served by transport hub,located in the administrative territorial entity
Q1191525,Q12193,place served by transport hub,place served by transport hub
Q10853394,Q639452,place served by transport hub,place served by transport hub
Q676576,Q5092,place served by transport hub,place served by transport hub
Q1654828,Q49266,place served by transport hub,place served by transport hub
Q917528,Q187805,place served by transport hub,place served by transport hub
Q25060,Q1000139,place served by transport hub,place served by transport hub
Q682232,Q4051,place served by transport hub,place served by transport hub
Q1421504,Q1342,place served by transport hub,place served by transport hub
Q2875909,Q160173,place served by transport hub,place served by transport hub
Q598033,Q39738,place served by transport hub,place served by transport hub
Q24901808,Q936741,place served by transport hub,place served by transport hub
Q5417132,Q994815,place served by transport hub,place served by transport hub
Q1431229,Q43070,place served by transport hub,place served by transport hub
Q6507708,Q1924183,place served by transport hub,place served by transport hub
Q17016016,Q2280439,place served by transport hub,place served by transport hub
Q6499745,Q755128,place served by transport hub,place served by transport hub
Q1332979,Q487096,place served by transport hub,place served by transport hub
Q3887824,Q79718,place served by transport hub,place served by transport hub
Q651330,Q81621,place served by transport hub,place served by transport hub
Q5364362,Q945084,place served by transport hub,place served by transport hub
Q2875860,Q1011051,place served by transport hub,place served by transport hub
Q45523,Q34932,place served by transport hub,place served by transport hub
Q5658941,Q989996,place served by transport hub,place served by transport hub
Q28163426,Q3314063,place served by transport hub,place served by transport hub
Q20459724,Q1575472,place served by transport hub,place served by transport hub
Q174764,Q37995,place served by transport hub,place served by transport hub
Q2902231,Q969307,place served by transport hub,place served by transport hub
Q5619447,Q79556,place served by transport hub,place served by transport hub
Q1430951,Q134698,place served by transport hub,place served by transport hub
Q587675,Q792,place served by transport hub,place served by transport hub
Q286727,Q1507709,place served by transport hub,place served by transport hub
Q3565926,Q48274,place served by transport hub,place served by transport hub
Q12693774,Q5784,place served by transport hub,place served by transport hub
Q2875743,Q34986,place served by transport hub,place served by transport hub
Q174140,Q637555,place served by transport hub,place served by transport hub
Q28219774,Q3130,place served by transport hub,place served by transport hub
Q4759072,Q509541,place served by transport hub,place served by transport hub
Q905906,Q776930,place served by transport hub,place served by transport hub
Q1137115,Q25287,place served by transport hub,place served by transport hub
Q58226,Q1718,place served by transport hub,place served by transport hub
Q15533,Q7984754,place served by transport hub,place served by transport hub
Q1932805,Q14499,place served by transport hub,place served by transport hub
Q1430743,Q213898,place served by transport hub,place served by transport hub
Q2672666,Q47916,place served by transport hub,place served by transport hub
Q2901846,Q2307548,place served by transport hub,place served by transport hub
Q6922657,Q7370759,mountain range,mountain range
Q4850345,Q5089568,mountain range,mountain range
Q7122002,Q2241223,mountain range,mountain range
Q4812403,Q519263,mountain range,mountain range
Q13676863,Q1246792,mountain range,mountain range
Q15239,Q178611,mountain range,mountain range
Q679343,Q190348,mountain range,mountain range
Q4708190,Q2477664,mountain range,mountain range
Q1906800,Q702826,mountain range,mountain range
Q2961875,Q161750,mountain range,mountain range
Q8553102,Q837186,mountain range,mountain range
Q829328,Q2142096,mountain range,mountain range
Q5568602,Q2068206,mountain range,mountain range
Q5149797,Q1419187,mountain range,mountain range
Q205976,Q2328820,mountain range,mountain range
Q11842621,Q3323150,mountain range,mountain range
Q4853961,Q4527,mountain range,mountain range
Q217202,Q1288,mountain range,mountain range
Q14934859,Q1577859,mountain range,mountain range
Q1836325,Q626655,mountain range,mountain range
Q659729,Q190348,mountain range,mountain range
Q7494169,Q1141373,mountain range,mountain range
Q6922678,Q467386,mountain range,mountain range
Q1883683,Q183295,mountain range,mountain range
Q7455244,Q6745874,mountain range,mountain range
Q7544772,Q1329317,mountain range,mountain range
Q16652,Q327221,mountain range,mountain range
Q1544089,Q876749,mountain range,mountain range
Q14713886,Q4558,mountain range,mountain range
Q1953957,Q733842,mountain range,mountain range
